,机构名称,学校机构办学类型,经度,纬度
1,上海市松江区九亭中学,初级中学,121.30401034797826,31.153539769435476
2,上海市坦直中学,初级中学,121.64013387835764,31.074468121872766
3,上海市石笋中学,初级中学,121.64005252612377,31.01988186606633
4,上海市兴业中学,初级中学,121.46833984406518,31.213506858379272
5,上海市新陆中学,初级中学,121.61949675143933,31.26132852763464
6,上海市淞谊中学,初级中学,121.47459422130534,31.403392412229532
7,上海市罗阳中学,初级中学,121.40820810434343,31.123373716472887
8,上海市罗山中学,初级中学,121.55415682441499,31.24955064008677
9,上海市蔡路中学,初级中学,121.72464465629999,31.216463191632773
10,上海市崇明区向化中学,初级中学,121.71838604541367,31.523405187948583
11,上海市崇明区大公中学,初级中学,121.75725367421143,31.531127496396874
12,上海市浦东新区教育学院实验中学,初级中学,121.53572478968016,31.16508064760026
13,上海市闵行区马桥复旦万科实验中学,初级中学,121.37797669260603,31.028614267089385
14,上海市松江二中(集团)初级中学,初级中学,121.24105507087592,31.01061573492684
15,上海市致远中学,初级中学,121.57128038707351,31.245253830422307
16,上海市崇明区凌云中学,初级中学,121.39583466462597,31.630106750780396
17,上海市松江区第七中学,初级中学,121.23019612767108,31.0182003611775
18,上海市南汇第二中学,初级中学,121.73549803634165,31.058558875506847
19,上海市第五中学,初级中学,121.4672974284751,31.295859785722865
20,上海市澄衷初级中学,初级中学,121.49873738446675,31.253575782500516
21,上海市吴泾中学,初级中学,121.46157887005829,31.047638085988567
22,上海市青浦区颜安中学,初级中学,121.03827083531915,31.00802781117055
23,上海市航华中学,初级中学,121.34815828396154,31.174970856999973
24,上海市六灶中学,初级中学,121.69455951546472,31.115664865510773
25,上海市东林中学,初级中学,121.53442384940887,31.154683964527052
26,上海市浦东教育发展研究院附属中学,初级中学,121.75684242754754,31.081896661710704
27,上海市嘉定区青少年业余体校,初级中学,121.26910483087768,31.380376697805552
28,上海市嘉定区丰庄中学,初级中学,121.35773739399404,31.244967042634883
29,上海市金山初级中学,初级中学,121.33716114854367,30.756677866680636
30,上海市张堰第二中学,初级中学,121.28130874863517,30.810485087076657
31,上海市钱圩中学,初级中学,121.24943876529548,30.776206270996106
32,上海市同凯中学,初级中学,121.3573947242292,30.73742875674785
33,上海市金山区青少年业余体育学校,初级中学,121.33773890049733,30.70951981732139
34,上海市蒙山中学,初级中学,121.34548988668482,30.72955094238311
35,上海市松隐中学,初级中学,121.23228946064764,30.895229140105794
36,上海市梅陇中学,初级中学,121.3846655805449,31.244889053181353
37,上海市兴塔中学,初级中学,121.06995373142081,30.87267003099398
38,上海市朱行中学,初级中学,121.32845184669951,30.84677665104319
39,上海市漕泾中学,初级中学,121.40660227224814,30.79878859944944
40,上海市罗泾中学,初级中学,121.33066585679785,31.485058302066093
41,华东师范大学第一附属初级中学,初级中学,121.49717261231714,31.266961262336235
42,上海市北虹初级中学,初级中学,121.47073221868399,31.27674192937115
43,上海市鲁迅初级中学,初级中学,121.48266783664909,31.26610643998596
44,上海市钟山初级中学,初级中学,121.46211858077918,31.3033732718743
45,上海市丰镇中学,初级中学,121.47398443287403,31.307116713781298
46,同济大学附属实验中学,初级中学,121.15814320910604,31.280959902762913
47,上海市澧溪中学,初级中学,121.57428421247936,31.11179505546377
48,华东师范大学第二附属中学附属初级中学,初级中学,121.59042950657641,31.090532878301737
49,上海市闵行第四中学,初级中学,121.39961156177517,31.014995067804183
50,华东师范大学松江实验中学,初级中学,121.23333497027845,31.037559628147257
51,上海市龙柏中学,初级中学,121.357352689626,31.180162669027666
52,上海市川沙中学华夏西校,初级中学,121.69710473668515,31.19615462931387
53,上海市南汇第三中学,初级中学,121.75480718296255,31.054201747388664
54,上海市普陀区教育学院附属中学,初级中学,121.3838910346366,31.256975117503195
55,上海市东沟中学,初级中学,121.57772869670157,31.285084109945434
56,上海市华东师大一附中实验中学,初级中学,121.50025551322598,31.269368460668115
57,上海市五三中学,初级中学,121.70222183751353,31.200507657983785
58,上海市新港中学,初级中学,121.86569764670543,30.985997712689237
59,上海市陆行中学南校,初级中学,121.58091850148772,31.25092475640123
60,上海市兴陇中学,初级中学,121.40571276791077,31.239202379619687
61,上海市新杨中学,初级中学,121.35003770192324,31.28897415001745
62,上海市延河中学,初级中学,121.43249684340184,31.26934758022354
63,上海市书院中学,初级中学,121.8602458146486,30.930792390359684
64,上海市月浦中学,初级中学,121.4313833377646,31.41272198999238
65,上海市嘉定区华江中学,初级中学,121.33851304637086,31.27106171891952
66,上海市同济初级中学,初级中学,121.50604028174003,31.30437534795727
67,上海市泗塘第二中学,初级中学,121.45017912760147,31.331717187799782
68,华东师范大学附属杨行中学,初级中学,121.44360167404743,31.378447915568053
69,上海市虎林中学,初级中学,121.45216052274061,31.34197996970786
70,上海市大团中学,初级中学,121.73848534685573,30.969297250493625
71,上海市闵行区曹行中学,初级中学,121.42890382612931,31.093335552049464
72,上海市奉贤区肖塘中学,初级中学,121.43388185724369,30.963384566515444
73,上海市闵行区教育学院附属友爱实验中学,初级中学,121.35948235172462,31.119220734619123
74,上海外国语大学苏河湾实验中学,初级中学,121.46782813318069,31.24924393916395
75,上海市姚连生中学,初级中学,121.40111137116162,31.215603229505266
76,上海市虹桥中学,初级中学,121.37623112229784,31.19326057242622
77,上海市延安实验初级中学,初级中学,121.37015105403945,31.21721993323576
78,上海市西延安中学,初级中学,121.36070434945263,31.222798032698698
79,上海市新泾中学,初级中学,121.35925955910908,31.21332056301977
80,上海市新中初级中学,初级中学,121.42381438601963,31.29699645317542
81,上海市育群中学,初级中学,121.45204093766449,31.264049183406712
82,上海市虹口区教育学院附属中学,初级中学,121.48484372103476,31.275327915937957
83,上海市田林第三中学,初级中学,121.4248204244541,31.174996419381095
84,上海市大华中学,初级中学,121.40924789436158,31.282255186023768
85,上海市宝山区求真中学,初级中学,121.44578336395291,31.338703372224323
86,上海市宝山区教育学院附属中学,初级中学,121.48765394450618,31.40144690713386
87,上海市市西初级中学,初级中学,121.43552946141178,31.22519719555637
88,上海市闵行区浦江第一中学,初级中学,121.494137860545,31.07559638031444
89,上海市吕巷中学,初级中学,121.17274439925757,30.82670765269383
90,上海市西林中学,初级中学,121.15520135321268,30.89411006896461
91,上海市廊下中学,初级中学,121.18583384639375,30.794656316877294
92,上海市实验学校西校,初级中学,121.39455093967432,31.149946253265306
93,上海市闵行区莘松中学,初级中学,121.40015455105203,31.10822272201989
94,上海市闵行区颛桥中学,初级中学,121.39866850568227,31.07238474282556
95,上海市闵行区浦江第二中学,初级中学,121.52878662878737,31.059808366484354
96,上海市闵行区鹤北初级中学,初级中学,121.40375388416817,31.010400491914798
97,上海市闵行区浦江第三中学,初级中学,121.52878662878737,31.059808366484354
98,上海市闵行区梅陇中学,初级中学,121.40506664107654,31.13413664624648
99,上海市七宝实验中学,初级中学,121.37748134177524,31.164914867151484
100,上海市闵行第五中学,初级中学,121.41406526405004,31.008945489805786
101,上海市泸定中学,初级中学,121.40931581479231,31.203366862855262
102,上海市天山第二中学,初级中学,121.39138106457678,31.21423550799485
103,上海市青云中学,初级中学,121.46461180631054,31.262404620856735
104,上海市闸北成功教育实验中学,初级中学,121.45687095809674,31.269257217326764
105,上海市风华初级中学,初级中学,121.45436574301633,31.293829104246992
106,上海市和田中学,初级中学,121.45045262536371,31.27649434020209
107,上海市青浦区凤溪中学,初级中学,121.22376776968673,31.185325733354627
108,上海市盛桥中学,初级中学,121.39817886058616,31.457346190828144
109,上海市洵阳中学,初级中学,121.42095738398163,31.253622544391813
110,上海市真北中学,初级中学,121.39138715150078,31.259059975622012
111,上海市临港第一中学,初级中学,121.91548096776219,30.886205243171585
112,上海市金杨中学,初级中学,121.5723072860268,31.250740365255265
113,上海市新云台中学,初级中学,121.54442212339589,31.18376845536545
114,上海市嘉定区南苑中学,初级中学,121.23789771052996,31.36453236215974
115,上海市海南中学,初级中学,121.48138367132225,31.250485522773666
116,上海市继光初级中学,初级中学,121.49377893075535,31.260513877326435
117,上海市山阳中学,初级中学,121.36187146288556,30.770816944346777
118,上海市金山区教师进修学院附属中学,初级中学,121.33349240894464,30.719026009732218
119,上海市曲阳第二中学,初级中学,121.49136443170153,31.28188556846054
120,上海市复兴实验中学,初级中学,121.47013203746359,31.290866465007248
121,上海市虹口区教育学院实验中学,初级中学,121.47969278030232,31.262270430545737
122,上海市江湾初级中学,初级中学,121.47114547775654,31.301246105501328
123,上海市北海中学,初级中学,121.42186502874151,31.259477932867167
124,上海市罗星中学,初级中学,121.16560767948918,30.900562638169575
125,上海市亭新中学,初级中学,121.31431469306591,30.884356931787526
126,上海市嘉定区南翔中学,初级中学,121.3024419834109,31.301519819437402
127,上海市民办新华初级中学,初级中学,121.47719983064866,31.254746546909377
128,上海市民办新复兴初级中学,初级中学,121.47828246598115,31.267421140077893
129,上海市嘉定区震川中学,初级中学,121.15070458830664,31.304741840015442
130,上海市宝山区陈伯吹中学,初级中学,121.3333371503668,31.412723119042504
131,上海市嘉定区金鹤中学,初级中学,121.3122890598942,31.24921295703787
132,上海市嘉定区马陆育才联合中学,初级中学,121.27510107907885,31.32621100024166
133,上海市长江第二中学,初级中学,121.472734604577,31.337897818260572
134,上海市嘉定区外冈中学,初级中学,121.15290054184734,31.36605097439769
135,上海市宝山区高境镇第四中学,初级中学,121.44804408354257,31.32624256209529
136,上海市嘉定区迎园中学,初级中学,121.27702750643812,31.39547325278283
137,上海市曹杨二中附属江桥实验中学,初级中学,121.31714336885302,31.25788895322735
138,上海市宝山区高境镇第三中学,初级中学,121.44589359131236,31.316132832542365
139,上海市第三女子初级中学,初级中学,121.42624923356857,31.224666849883523
140,上海市延安初级中学,初级中学,121.43125417086969,31.216715492868946
141,上海市复旦初级中学,初级中学,121.42906331548969,31.20623638365048
142,上海市长宁中学,初级中学,121.40768132346119,31.220964631361287
143,上海市天山初级中学,初级中学,121.38408125897556,31.218554568135783
144,上海市呼玛中学,初级中学,121.44459592880501,31.345148722755145
145,上海市嘉定区方泰中学,初级中学,121.2036369915835,31.319686143267372
146,上海市嘉定区黄渡中学,初级中学,121.20482341312932,31.276534901559266
147,上海市嘉定区徐行中学,初级中学,121.26506105363119,31.415148142667146
148,上海市嘉定区启良中学,初级中学,121.2485962299227,31.390508167459082
149,上海市吴淞第二中学,初级中学,121.47949984833346,31.347195811756887
150,上海市嘉定区留云中学,初级中学,121.31688197122638,31.315782785232674
151,上海市嘉定区杨柳初级中学,初级中学,121.28887693210031,31.27323330922547
152,上海市罗南中学,初级中学,121.35924019670178,31.389879592484615
153,上海市嘉定区德富路中学,初级中学,121.24737134964606,31.357202666471455
154,上海市闵行区七宝第二中学,初级中学,121.34813687892496,31.157036158022716
155,上海师范大学附属高桥实验中学,初级中学,121.57624868484154,31.338777490135065
156,上海市洪山中学,初级中学,121.49511101763434,31.17443772176107
157,上海民办浦东交中初级中学,初级中学,121.51823560951546,31.235139972328838
158,上海市浦东模范实验中学,初级中学,121.61326736678042,31.293414874992173
159,上海市青浦区华新中学,初级中学,121.23048197050765,31.235269191382088
160,上海市松江区第六中学,初级中学,121.22513129866566,31.01346084479543
161,上海市青浦区东方中学,初级中学,121.11756057161233,31.145467731631804
162,上海市闵行区晶城中学,初级中学,121.42332178593382,31.123402888028103
163,上海市顾路中学,初级中学,121.65448847424747,31.29053417351123
164,上海上师初级中学,初级中学,121.50455868438506,31.070629356905734
165,上海市海滨第二中学,初级中学,121.49408434825372,31.38612851520095
166,上海市王港中学,初级中学,121.67493952258704,31.23568504526922
167,上海市奉贤区塘外中学,初级中学,121.61522994962573,30.904440110182712
168,上海市奉贤区头桥中学,初级中学,121.6396140877502,30.96109834300057
169,上海市怒江中学,初级中学,121.39744814797959,31.236973986531908
170,上海市青浦区徐泾中学,初级中学,121.26922297353242,31.17741450610776
171,上海市青浦区实验中学,初级中学,121.09078381688764,31.152643295804083
172,上海市崇明区登瀛中学,初级中学,121.67609307215317,31.534364901922125
173,上海市崇明区长江中学,初级中学,121.53370260055065,31.668107100197716
174,上海市育人中学,初级中学,121.50318997657006,31.13986095467559
175,上海市大场中学,初级中学,121.39496204717825,31.308566882498173
176,上海市浦东模范中学,初级中学,121.58808596903174,31.266802653428172
177,上海民办华二初级中学,初级中学,121.24720556250007,31.34333838010713
178,上海市闵行区北桥中学,初级中学,121.411415036592,31.03300161092514
179,上海市师资培训中心实验基地附属中学,初级中学,121.36381385581069,31.10299480297094
180,上海市航华第二中学,初级中学,121.34531863185659,31.16773741394295
181,上海市建平香梅中学,初级中学,121.5342376817865,31.210143561982555
182,上海市唐镇中学,初级中学,121.66055494311375,31.206124535285138
183,上海市闵行区浦航第二中学,初级中学,121.53294858286779,31.04493736850978
184,上海市闵行区七宝第三中学,初级中学,121.3581493709112,31.156495688074507
185,上海市闵行区上虹中学,初级中学,121.38405092486113,31.176707174629932
186,上海市闵行区龙茗中学,初级中学,121.3775665337397,31.138752567689718
187,上海市武宁中学,初级中学,121.41909598242641,31.244077951595475
188,上海市崇明区三星中学,初级中学,121.28383351132267,31.76157523447473
189,上海市崇明区新光中学,初级中学,121.59743804940831,31.61768367136423
190,上海市崇明区三烈中学,初级中学,121.56834453987811,31.565684276843626
191,上海市崇明区马桥中学,初级中学,121.64713268462093,31.59136381732826
192,上海市崇明区合兴中学,初级中学,121.7108780205102,31.58689705095477
193,上海市崇明区实验中学,初级中学,121.38620389996377,31.62896551936677
194,上海市青浦区沈巷中学,初级中学,121.0575815771828,31.07590532881447
195,上海市青浦区重固中学,初级中学,121.17341306574242,31.200917789050077
196,上海市青浦区尚美中学,初级中学,121.10446146903553,31.161572939023902
197,上海市青浦区白鹤中学,初级中学,121.13053855422262,31.256254847740674
198,上海市青浦区金泽中学,初级中学,120.92132246496851,31.035925987086134
199,上海市青浦区珠溪中学,初级中学,121.04820713090498,31.104752886868486
200,上海市松江区九亭第二中学,初级中学,121.34086724801523,31.117722905122786
201,上海市民办上宝中学,初级中学,121.35968402631696,31.142185047498725
202,上海市崇明区裕安中学,初级中学,121.84349928142383,31.53084916555762
203,上海市崇明区崇东中学,初级中学,121.79964038463577,31.49952179097672
204,上海市崇明区正大中学,初级中学,121.61800140435494,31.534265580652423
205,上海市崇明区东门中学,初级中学,121.3864477736447,31.628850401159347
206,上海市崇明区新民中学,初级中学,121.52756562368539,31.621818873090763
207,上海市吴淞初级中学,初级中学,121.48862612944343,31.381442603348628
208,华东师范大学附属东昌中学南校,初级中学,121.51507434844989,31.22883498457348
209,上海市竹园中学,初级中学,121.62402492538301,31.201439216877812
210,上海市由由中学,初级中学,121.52628664485738,31.192991938164976
211,上海市洋泾中学南校,初级中学,121.52215061302023,31.200256324231336
212,上海市历城中学,初级中学,121.48597627430327,31.174919208846454
213,上海市上南中学南校,初级中学,121.530000077163,31.147766704519338
214,上海市浦东新区建平中学南校,初级中学,121.51653751003619,31.21520155570583
215,上海市施湾中学,初级中学,121.74222677810533,31.14618239425371
216,上海市杨思中学,初级中学,121.49345862200872,31.156109243959918
217,上海市上南中学东校,初级中学,121.50807017218547,31.17769664998368
218,上海市浦泾中学,初级中学,121.51013562996513,31.199435829620963
219,上海市清流中学,初级中学,121.49099177272025,31.17962374809631
220,上海市孙桥中学,初级中学,121.62829989145392,31.17526893094123
221,上海市华林中学,初级中学,121.55859448033094,31.19546832500212
222,上海市洋泾中学东校,初级中学,121.52246551942658,31.225706976737673
223,上海市浦兴中学,初级中学,121.59492608012582,31.26693217493162
224,上海市金川中学,初级中学,121.57961607930855,31.278347147918755
225,上海市建平中学西校,初级中学,121.52967662614994,31.23707462612033
226,上海市东昌东校,初级中学,121.51433084825887,31.23997573745758
227,上海市进才中学北校,初级中学,121.54791655348029,31.23608129118746
228,上海市黄楼中学,初级中学,121.66550953746221,31.16759938291309
229,上海市娄山中学,初级中学,121.39598090788454,31.21739519115592
230,上海市凌桥中学,初级中学,121.53882064037539,31.368538233213688
231,上海市建平实验中学,初级中学,121.5673533488608,31.26184026066166
232,上海市杨园中学,初级中学,121.62655788070133,31.310202289220747
233,上海市三林中学北校,初级中学,121.4989562332117,31.146330872336282
234,上海市六团中学,初级中学,121.71783872436818,31.15617457956798
235,上海市侨光中学,初级中学,121.6900210832076,31.19826334258802
236,上海市南汇第五中学,初级中学,121.73618204489581,31.06940239289486
237,上海市浦东模范中学东校,初级中学,121.66609090693069,31.292819280254015
238,上海市北蔡中学,初级中学,121.55845688889548,31.187263195963496
239,上海市上南中学北校,初级中学,121.51084041859852,31.183795652728996
240,上海市进才实验中学,初级中学,121.55254408165534,31.2277117985935
241,上海市傅雷中学,初级中学,121.5858545436619,31.12410821829094
242,上海市临港实验中学,初级中学,121.90130059524192,30.906731000336762
243,上海市南汇第四中学,初级中学,121.75739885478693,31.046617117803567
244,上海市进才中学南校,初级中学,121.59096828568212,31.07119489898679
245,上海市浦东新区进才中学东校,初级中学,121.7494888126745,31.12688470831262
246,上海市浦东外国语学校东校,初级中学,121.61895102035311,31.240307456173664
247,上海市陆行中学北校,初级中学,121.57477470456124,31.28230498823863
248,上海市奉贤区四团中学,初级中学,121.7175718666786,30.943215670832238
249,上海市尚文中学,初级中学,121.49824746590812,31.219940721710074
250,上海市敬业初级中学,初级中学,121.48854272904366,31.218271467488012
251,上海市启秀实验中学,初级中学,121.46302365233807,31.21849945240736
252,上海市向明初级中学,初级中学,121.45337396121182,31.224709954706253
253,上海市大同初级中学,初级中学,121.48847746604905,31.206846753044204
254,上海市市八初级中学,初级中学,121.49579430665945,31.223742576566725
255,上海市清华中学,初级中学,121.45740807134665,31.216261477070066
256,上海市宝山区乐之中学,初级中学,121.37143253139077,31.35370377982076
257,上海市卢湾中学,初级中学,121.46439110954292,31.20424984459473
258,上海市光明初级中学,初级中学,121.48738298046858,31.22547462142729
259,上海外国语大学附属大境初级中学,初级中学,121.483538027394,31.205867608257144
260,上海市格致初级中学,初级中学,121.46754521545641,31.2376943976961
261,上海民办进才外国语中学,初级中学,121.53718767409588,31.205048999933652
262,上海市宝山区罗店第二中学,初级中学,121.33942195865158,31.38755988326724
263,上海市奉贤区青村中学,初级中学,121.57993457433206,30.92346278432265
264,上海市青浦区少年业余体育学校,初级中学,121.09315224362074,31.14073342390475
265,上海市培明中学,初级中学,121.4427675051572,31.231112452314424
266,上海市时代中学,初级中学,121.44652106763564,31.236057696108166
267,上海市育才初级中学,初级中学,121.45683466774153,31.236595589008157
268,上海市五四中学,初级中学,121.44576440340637,31.233782184844475
269,上海市静安区实验中学,初级中学,121.44971338471807,31.256849152015395
270,上海市彭浦初级中学,初级中学,121.44594308021055,31.311892544166145
271,上海市彭浦第三中学,初级中学,121.44589359131236,31.316132832542365
272,上海市岭南中学,初级中学,121.45452136434402,31.314813278738676
273,上海市市北初级中学,初级中学,121.46275948900477,31.257511954698373
274,上海市共康中学,初级中学,121.43212503192194,31.3168669095579
275,上海市彭浦第四中学,初级中学,121.44105372519792,31.31049148585096
276,上海市保德中学,初级中学,121.45017917422547,31.319631621122998
277,上海市朝阳中学,初级中学,121.47338385004592,31.255373470825223
278,上海市奉贤区洪庙中学,初级中学,121.67963835273865,30.927872369533116
279,上海市合庆中学,初级中学,121.71427779142566,31.241944323945553
280,上海市崇明区大新中学,初级中学,121.52608304732824,31.584613091160733
281,上海市崇明区育林中学,初级中学,121.40370904624726,31.637033515139084
282,上海市崇明区崇西中学,初级中学,121.3419625612821,31.71804049539717
283,上海市崇明区港西中学,初级中学,121.41152322846546,31.694263318869197
284,上海市崇明区建设中学,初级中学,121.45097520214308,31.664979316908504
285,上海市崇明区大同中学,初级中学,121.48427933353999,31.62954279137364
286,上海市崇明区长兴中学,初级中学,121.68700318381134,31.3893613557297
287,上海市崇明区长明中学,初级中学,121.73221390840284,31.386716589233263
288,上海民办张江集团学校,初级中学,121.59047416302442,31.204096900953466
289,上海市民办新世纪中学,初级中学,121.40458844369317,31.21471244412601
290,上海市奉贤区青溪中学,初级中学,121.51389049356366,30.92696996874635
291,上海市奉贤区古华中学,初级中学,121.46215380620391,30.91618506691401
292,上海市奉贤区实验中学,初级中学,121.4926572553205,30.92442863650118
293,上海市奉贤区尚同中学,初级中学,121.5129559726031,30.95447398473377
294,上海市奉贤区金水苑中学,初级中学,121.48685155940852,30.959868308466813
295,上海市奉贤区教育学院附属实验中学,初级中学,121.45172061083878,30.919860798941578
296,上海市奉贤区奉城第二中学,初级中学,121.63560209836896,30.915548628405535
297,上海市泗塘中学,初级中学,121.44065080369798,31.33378409964986
298,上海民办和衷中学,初级中学,121.49304210184083,31.391871709411465
299,上海民办行知二中,初级中学,121.48576573648589,31.39539001481154
300,上海市震旦外国语中学,初级中学,121.4721029287045,31.204539488663727
301,上海师大附中附属龙华中学,初级中学,121.44137003065995,31.17657532184936
302,上海理工大学附属初级中学,初级中学,121.54170678600153,31.294070484597903
303,上海市新大桥中学,初级中学,121.52686688298654,31.272018980810703
304,上海市浦东新区三灶实验中学,初级中学,121.7001557363215,31.05857218192353
305,上海市奉贤区汇贤中学,初级中学,121.46289831196803,30.92520264597238
306,上海兰田中学,初级中学,121.41579126080028,31.246468958934024
307,上海市民办嘉一联合中学,初级中学,121.24677236730149,31.405310161937855
308,上海市三门中学,初级中学,121.48818772095446,31.309256151758596
309,上海市园南中学,初级中学,121.44056002197946,31.14415867468923
310,上海市杨浦区教师进修学院附属中学,初级中学,121.51631481742527,31.27390447445321
311,上海玉华中学,初级中学,121.3774687322284,31.252405692225906
312,民办上海上外静安外国语中学,初级中学,121.45761708969648,31.234707346814876
313,上海市控江初级中学,初级中学,121.52781854800787,31.288111753336366
314,上海市青浦区教师进修学院附属中学,初级中学,121.15213923751716,31.166127738837023
315,上海外国语大学民办闵行外国语初级中学,初级中学,121.29985119692181,31.221800882776556
316,上海市延吉第二初级中学,初级中学,121.53217659093755,31.293131722261645
